Va,Vb,Vc,Ia,Ib,Ic,fault_type
1383.39219,-8189.175461,6805.78327,25.88632854,40.48860928,66.37493782,no fault
1464.923081,-8218.316708,6753.393626,25.30370036,40.98883386,66.29253423,no fault
1546.32385,-8246.727956,6700.404107,24.71882456,41.48541759,66.20424215,no fault
1627.587265,-8274.406683,6646.819418,24.13175308,41.97831634,66.11006942,no fault
1708.706108,-8301.350429,6592.644321,23.54253808,42.46748634,66.01002442,no fault
1789.673175,-8327.556802,6537.883627,22.9512319,42.95288412,65.90411602,no fault
1870.481272,-8353.023472,6482.5422,22.35788706,43.43446658,65.79235365,no fault
1951.123222,-8377.748179,6426.624957,21.76255628,43.91219094,65.67474722,no fault
2031.591863,-8401.728726,6370.136863,21.16529243,44.38601475,65.55130718,no fault
2111.880045,-8424.962982,6313.082937,20.56614855,44.85589595,65.4220445,no fault
2191.980638,-8447.448884,6255.468247,19.96517786,45.32179278,65.28697065,no fault
2271.886526,-8469.184436,6197.29791,19.36243374,45.78366388,65.14609763,no fault
2351.590612,-8490.167705,6138.577092,18.75796973,46.24146821,64.99943795,no fault
2431.085817,-8510.396828,6079.311011,18.15183954,46.69516511,64.84700465,no fault
2510.365079,-8529.870009,6019.504931,17.54409699,47.14471427,64.68881126,no fault
2589.421355,-8548.585518,5959.164163,16.93479607,47.59007576,64.52487184,no fault
2668.247625,-8566.541692,5898.294067,16.32399092,48.03121003,64.35520095,no fault
2746.836885,-8583.736936,5836.900051,15.71173579,48.46807787,64.17981367,no fault
